location,location_type,topic,start_year,percent_no_change,percent_slight_loss,percent_large_loss,percent_slight_increase,percent_large_increase,total_orgs
GA,state,3 Environment and Animals,1997,2.02,6.06,39.39,11.11,41.41,99.0
GA,state,4a Hospitals,1997,17.57,4.05,9.46,18.92,50.0,74.0
GA,state,4b Other Health,1997,10.99,9.16,22.51,11.78,45.55,382.0
GA,state,5 Human Services,1997,15.53,10.05,18.98,14.42,41.02,985.0
GA,state,6 International and Foreign Affairs,1997,5.88,2.94,23.53,17.65,50.0,34.0
GA,state,7 Religion Related,1997,9.56,8.46,24.63,9.93,47.43,272.0
GA,state,8 Other,1997,9.81,10.34,28.12,8.75,42.97,377.0
HI,state,1 Arts,1997,8.76,6.57,31.39,10.22,43.07,137.0
HI,state,2a Higher Education,1997,33.33,16.67,0.0,16.67,33.33,6.0
HI,state,2b Other Education,1997,7.08,12.39,30.09,7.96,42.48,113.0
HI,state,3 Environment and Animals,1997,10.0,7.5,30.0,2.5,50.0,40.0
HI,state,4a Hospitals,1997,15.0,15.0,15.0,25.0,30.0,20.0
HI,state,4b Other Health,1997,13.51,5.41,22.52,14.41,44.14,111.0
HI,state,5 Human Services,1997,11.11,9.72,23.61,12.96,42.59,216.0
HI,state,6 International and Foreign Affairs,1997,23.08,0.0,53.85,0.0,23.08,13.0
HI,state,7 Religion Related,1997,17.65,8.82,23.53,11.76,38.24,34.0
HI,state,8 Other,1997,6.94,9.72,33.33,8.33,41.67,72.0
IA,state,1 Arts,1997,7.03,10.27,25.41,15.14,42.16,185.0
IA,state,2a Higher Education,1997,21.21,9.09,15.15,18.18,36.36,33.0
IA,state,2b Other Education,1997,12.96,7.87,21.76,15.28,42.13,216.0
IA,state,3 Environment and Animals,1997,15.63,6.25,28.13,3.13,46.88,64.0
IA,state,4a Hospitals,1997,15.09,7.55,3.77,32.08,41.51,53.0
IA,state,4b Other Health,1997,12.35,12.35,18.07,20.78,36.45,332.0
IA,state,5 Human Services,1997,21.13,8.27,17.91,18.94,33.75,871.0
IA,state,6 International and Foreign Affairs,1997,0.0,18.75,25.0,25.0,31.25,16.0
IA,state,7 Religion Related,1997,13.58,7.41,23.46,20.99,34.57,81.0
IA,state,8 Other,1997,11.55,6.14,25.63,13.36,43.32,277.0
ID,state,1 Arts,1997,18.75,10.94,32.81,12.5,25.0,64.0
ID,state,2a Higher Education,1997,0.0,0.0,0.0,0.0,100.0,2.0
ID,state,2b Other Education,1997,10.14,5.8,18.84,5.8,59.42,69.0
ID,state,3 Environment and Animals,1997,10.0,5.0,27.5,10.0,47.5,40.0
ID,state,4a Hospitals,1997,0.0,9.09,0.0,54.55,36.36,11.0
ID,state,4b Other Health,1997,15.28,6.94,15.28,15.28,47.22,72.0
ID,state,5 Human Services,1997,13.98,10.59,22.46,18.22,34.75,236.0
ID,state,6 International and Foreign Affairs,1997,NULL,NULL,NULL,NULL,NULL,0.0
ID,state,7 Religion Related,1997,20.0,8.0,20.0,8.0,44.0,25.0
ID,state,8 Other,1997,6.56,13.11,26.23,21.31,32.79,61.0
IL,state,1 Arts,1997,9.14,9.14,24.96,12.23,44.54,613.0
IL,state,2a Higher Education,1997,20.0,9.23,9.23,23.08,38.46,65.0
IL,state,2b Other Education,1997,12.37,9.3,20.55,15.03,42.74,978.0
IL,state,3 Environment and Animals,1997,5.84,7.14,22.08,9.09,55.84,154.0
IL,state,4a Hospitals,1997,12.82,7.05,11.54,28.21,40.38,156.0
IL,state,4b Other Health,1997,14.03,10.11,20.71,15.27,39.89,1048.0
IL,state,5 Human Services,1997,16.39,9.97,16.56,18.59,38.49,2276.0
IL,state,6 International and Foreign Affairs,1997,9.52,5.95,28.57,9.52,46.43,84.0
IL,state,7 Religion Related,1997,10.37,9.45,25.91,10.67,43.6,328.0
IL,state,8 Other,1997,12.96,9.17,24.66,9.91,43.31,949.0
IN,state,1 Arts,1997,8.33,6.67,29.67,12.33,43.0,300.0
IN,state,2a Higher Education,1997,11.43,8.57,11.43,11.43,57.14,35.0
IN,state,2b Other Education,1997,14.52,9.84,20.37,10.07,45.2,427.0
IN,state,3 Environment and Animals,1997,8.25,5.15,26.8,9.28,50.52,97.0
IN,state,4a Hospitals,1997,10.14,5.8,8.7,36.23,39.13,69.0
IN,state,4b Other Health,1997,9.93,7.0,19.19,13.32,50.56,443.0
IN,state,5 Human Services,1997,14.86,9.34,18.12,14.51,43.17,1413.0
IN,state,6 International and Foreign Affairs,1997,25.81,6.45,25.81,3.23,38.71,31.0
IN,state,7 Religion Related,1997,8.5,8.5,25.0,11.0,47.0,200.0
IN,state,8 Other,1997,12.11,9.87,25.56,8.97,43.5,446.0
KS,state,1 Arts,1997,10.0,11.11,30.56,13.33,35.0,180.0
KS,state,2a Higher Education,1997,0.0,9.09,4.55,18.18,68.18,22.0
KS,state,2b Other Education,1997,12.55,9.96,21.65,14.29,41.56,231.0
KS,state,3 Environment and Animals,1997,8.16,10.2,26.53,14.29,40.82,49.0
KS,state,4a Hospitals,1997,19.61,9.8,3.92,21.57,45.1,51.0
KS,state,4b Other Health,1997,14.19,9.0,23.88,14.19,38.75,289.0
KS,state,5 Human Services,1997,16.99,11.48,18.03,17.14,36.36,671.0
KS,state,6 International and Foreign Affairs,1997,18.18,0.0,27.27,9.09,45.45,11.0
KS,state,7 Religion Related,1997,13.51,8.11,27.03,6.76,44.59,74.0
KS,state,8 Other,1997,9.87,10.31,25.11,11.66,43.05,223.0
KY,state,1 Arts,1997,8.38,5.99,24.55,13.17,47.9,167.0
KY,state,2a Higher Education,1997,25.0,10.0,10.0,5.0,50.0,20.0
KY,state,2b Other Education,1997,6.97,13.94,28.22,15.33,35.54,287.0
KY,state,3 Environment and Animals,1997,6.38,8.51,21.28,6.38,57.45,47.0
KY,state,4a Hospitals,1997,22.64,5.66,7.55,30.19,33.96,53.0
KY,state,4b Other Health,1997,12.03,6.64,19.92,19.5,41.91,241.0
KY,state,5 Human Services,1997,19.29,9.78,18.36,15.19,37.38,757.0
KY,state,6 International and Foreign Affairs,1997,23.08,7.69,7.69,15.38,46.15,13.0
KY,state,7 Religion Related,1997,10.78,13.73,26.47,12.75,36.27,102.0
KY,state,8 Other,1997,8.75,7.5,26.25,10.0,47.5,240.0
LA,state,1 Arts,1997,3.73,8.96,31.34,14.18,41.79,134.0
LA,state,2a Higher Education,1997,11.76,5.88,23.53,23.53,35.29,17.0
LA,state,2b Other Education,1997,14.66,12.04,26.18,13.61,33.51,191.0
LA,state,3 Environment and Animals,1997,7.14,9.52,26.19,11.9,45.24,42.0
LA,state,4a Hospitals,1997,15.79,10.53,15.79,13.16,44.74,38.0
LA,state,4b Other Health,1997,14.15,6.6,17.92,15.57,45.75,212.0
LA,state,5 Human Services,1997,22.59,9.49,14.71,18.45,34.76,748.0
LA,state,6 International and Foreign Affairs,1997,0.0,9.09,18.18,36.36,36.36,11.0
LA,state,7 Religion Related,1997,10.89,7.92,22.77,12.87,45.54,101.0
LA,state,8 Other,1997,10.47,4.07,24.42,9.3,51.74,172.0
MA,state,1 Arts,1997,11.76,8.53,23.97,10.29,45.44,680.0
MA,state,2a Higher Education,1997,16.88,3.9,9.09,27.27,42.86,77.0
MA,state,2b Other Education,1997,11.61,8.13,21.26,15.62,43.38,922.0
MA,state,3 Environment and Animals,1997,10.05,6.22,25.84,7.18,50.72,209.0
MA,state,4a Hospitals,1997,18.37,9.18,19.39,24.49,28.57,98.0
MA,state,4b Other Health,1997,13.05,9.9,21.71,16.87,38.47,889.0
MA,state,5 Human Services,1997,16.42,7.66,16.21,18.93,40.77,1918.0
MA,state,6 International and Foreign Affairs,1997,3.88,11.65,33.98,4.85,45.63,103.0
MA,state,7 Religion Related,1997,11.34,8.25,22.68,11.34,46.39,97.0
MA,state,8 Other,1997,9.67,9.5,26.77,7.94,46.11,579.0
MD,state,1 Arts,1997,11.96,10.63,22.59,12.96,41.86,301.0
MD,state,2a Higher Education,1997,12.5,12.5,4.17,25.0,45.83,24.0
MD,state,2b Other Education,1997,11.79,11.05,21.92,12.89,42.36,543.0
MD,state,3 Environment and Animals,1997,4.46,16.96,23.21,9.82,45.54,112.0
MD,state,4a Hospitals,1997,25.86,15.52,8.62,15.52,34.48,58.0
MD,state,4b Other Health,1997,11.37,6.19,22.24,14.88,45.32,598.0
MD,state,5 Human Services,1997,14.39,8.12,17.57,16.74,43.18,1195.0
MD,state,6 International and Foreign Affairs,1997,8.57,1.43,27.14,5.71,57.14,70.0
MD,state,7 Religion Related,1997,4.03,9.68,25.0,9.68,51.61,124.0
MD,state,8 Other,1997,10.63,8.61,28.1,11.39,41.27,395.0
ME,state,1 Arts,1997,7.14,8.04,21.43,8.93,54.46,112.0
ME,state,2a Higher Education,1997,21.43,7.14,7.14,28.57,35.71,14.0
ME,state,2b Other Education,1997,13.07,6.54,24.18,7.84,48.37,153.0
ME,state,3 Environment and Animals,1997,5.43,5.43,27.17,10.87,51.09,92.0
ME,state,4a Hospitals,1997,11.11,8.33,5.56,25.0,50.0,36.0
ME,state,4b Other Health,1997,13.58,5.76,16.05,16.46,48.15,243.0
ME,state,5 Human Services,1997,16.39,6.65,18.76,14.73,43.47,421.0
ME,state,6 International and Foreign Affairs,1997,0.0,0.0,60.0,10.0,30.0,10.0
ME,state,7 Religion Related,1997,8.7,0.0,30.43,8.7,52.17,23.0
ME,state,8 Other,1997,12.12,9.09,27.27,9.09,42.42,99.0
MI,state,1 Arts,1997,7.55,11.44,25.86,15.1,40.05,437.0
MI,state,2a Higher Education,1997,19.15,8.51,27.66,21.28,23.4,47.0
MI,state,2b Other Education,1997,10.35,12.85,23.37,11.69,41.74,599.0
MI,state,3 Environment and Animals,1997,12.0,7.33,20.67,12.0,48.0,150.0
MI,state,4a Hospitals,1997,19.2,8.0,9.6,28.8,34.4,125.0
MI,state,4b Other Health,1997,14.66,10.37,16.18,17.84,40.94,723.0
MI,state,5 Human Services,1997,16.5,8.46,16.55,18.14,40.35,1891.0
MI,state,6 International and Foreign Affairs,1997,6.12,8.16,26.53,6.12,53.06,49.0
MI,state,7 Religion Related,1997,9.32,6.78,24.15,14.41,45.34,236.0
MI,state,8 Other,1997,10.5,9.29,29.78,10.15,40.28,581.0
MN,state,1 Arts,1997,10.26,9.07,25.3,10.5,44.87,419.0
MN,state,2a Higher Education,1997,24.14,6.9,10.34,20.69,37.93,29.0
MN,state,2b Other Education,1997,12.83,7.51,21.55,14.77,43.34,413.0
MN,state,3 Environment and Animals,1997,10.32,7.14,25.4,15.08,42.06,126.0
MN,state,4a Hospitals,1997,15.94,4.35,7.25,30.43,42.03,69.0
MN,state,4b Other Health,1997,14.26,8.91,18.42,19.41,39.01,505.0
MN,state,5 Human Services,1997,15.8,9.21,17.94,17.75,39.29,1639.0
MN,state,6 International and Foreign Affairs,1997,11.48,3.28,16.39,18.03,50.82,61.0
MN,state,7 Religion Related,1997,12.77,7.45,23.4,11.17,45.21,188.0
MN,state,8 Other,1997,7.47,7.66,28.09,13.95,42.83,509.0
MO,state,1 Arts,1997,8.09,10.66,23.53,12.5,45.22,272.0
MO,state,2a Higher Education,1997,14.29,5.71,8.57,11.43,60.0,35.0
MO,state,2b Other Education,1997,11.46,9.79,25.06,12.65,41.05,419.0
MO,state,3 Environment and Animals,1997,7.58,7.58,25.76,9.09,50.0,66.0
MO,state,4a Hospitals,1997,21.62,12.16,9.46,28.38,28.38,74.0
MO,state,4b Other Health,1997,14.06,8.26,21.21,15.85,40.63,448.0
MO,state,5 Human Services,1997,14.9,9.99,16.45,14.9,43.76,1161.0
MO,state,6 International and Foreign Affairs,1997,11.9,14.29,21.43,7.14,45.24,42.0
MO,state,7 Religion Related,1997,8.42,11.05,26.32,12.63,41.58,190.0
MO,state,8 Other,1997,10.91,9.61,24.68,11.17,43.64,385.0
MS,state,1 Arts,1997,10.53,6.58,30.26,5.26,47.37,76.0
MS,state,2a Higher Education,1997,9.09,0.0,45.45,9.09,36.36,11.0
MS,state,2b Other Education,1997,17.65,8.82,19.85,10.29,43.38,136.0
MS,state,3 Environment and Animals,1997,4.17,4.17,41.67,20.83,29.17,24.0
MS,state,4a Hospitals,1997,19.05,16.67,16.67,30.95,16.67,42.0
MS,state,4b Other Health,1997,16.54,7.87,16.54,20.47,38.58,127.0
MS,state,5 Human Services,1997,16.87,10.43,18.71,16.26,37.73,326.0
MS,state,6 International and Foreign Affairs,1997,12.5,12.5,0.0,12.5,62.5,8.0
MS,state,7 Religion Related,1997,13.79,8.62,31.03,6.9,39.66,58.0
MS,state,8 Other,1997,14.63,8.13,21.95,16.26,39.02,123.0
MT,state,1 Arts,1997,11.22,5.1,24.49,13.27,45.92,98.0
MT,state,2a Higher Education,1997,0.0,22.22,11.11,11.11,55.56,9.0
MT,state,2b Other Education,1997,16.13,11.83,23.66,10.75,37.63,93.0
MT,state,3 Environment and Animals,1997,9.68,1.61,22.58,4.84,61.29,62.0
MT,state,4a Hospitals,1997,12.82,7.69,10.26,38.46,30.77,39.0
MT,state,4b Other Health,1997,14.95,8.41,21.5,13.08,42.06,107.0
MT,state,5 Human Services,1997,15.26,9.35,17.13,19.31,38.94,321.0
MT,state,6 International and Foreign Affairs,1997,20.0,0.0,0.0,0.0,80.0,5.0
MT,state,7 Religion Related,1997,19.05,4.76,23.81,4.76,47.62,21.0
MT,state,8 Other,1997,6.59,6.59,31.87,15.38,39.56,91.0
NC,state,1 Arts,1997,8.74,8.5,26.46,12.38,43.93,412.0
NC,state,2a Higher Education,1997,24.32,21.62,0.0,5.41,48.65,37.0
NC,state,2b Other Education,1997,10.0,7.47,25.2,11.73,45.6,750.0
NC,state,3 Environment and Animals,1997,10.0,4.17,24.17,16.67,45.0,120.0
NC,state,4a Hospitals,1997,19.28,9.64,9.64,22.89,38.55,83.0
NC,state,4b Other Health,1997,12.01,8.97,23.69,12.86,42.47,591.0
NC,state,5 Human Services,1997,16.64,9.16,15.71,15.17,43.32,1496.0
NC,state,6 International and Foreign Affairs,1997,11.11,0.0,19.44,16.67,52.78,36.0
NC,state,7 Religion Related,1997,11.39,7.59,23.21,13.08,44.73,237.0
NC,state,8 Other,1997,10.06,8.83,26.49,9.45,45.17,487.0
ND,state,1 Arts,1997,9.68,9.68,22.58,16.13,41.94,62.0
ND,state,2a Higher Education,1997,16.67,16.67,33.33,0.0,33.33,6.0
ND,state,2b Other Education,1997,9.68,12.9,17.74,11.29,48.39,62.0
ND,state,3 Environment and Animals,1997,12.5,0.0,31.25,18.75,37.5,16.0
ND,state,4a Hospitals,1997,23.53,14.71,11.76,11.76,38.24,34.0
ND,state,4b Other Health,1997,14.29,8.04,17.86,19.64,40.18,112.0
ND,state,5 Human Services,1997,15.29,8.63,17.25,17.25,41.57,255.0
ND,state,6 International and Foreign Affairs,1997,0.0,50.0,25.0,0.0,25.0,4.0
ND,state,7 Religion Related,1997,4.76,4.76,38.1,9.52,42.86,21.0
ND,state,8 Other,1997,12.86,7.14,20.0,15.71,44.29,70.0
NE,state,1 Arts,1997,8.49,7.55,24.53,12.26,47.17,106.0
NE,state,2a Higher Education,1997,6.67,6.67,20.0,20.0,46.67,15.0
NE,state,2b Other Education,1997,11.95,7.55,27.04,10.06,43.4,159.0
NE,state,3 Environment and Animals,1997,7.69,11.54,15.38,3.85,61.54,26.0
NE,state,4a Hospitals,1997,12.82,5.13,7.69,25.64,48.72,39.0
NE,state,4b Other Health,1997,9.84,4.66,21.76,17.62,46.11,193.0
NE,state,5 Human Services,1997,17.68,9.04,18.47,15.13,39.69,509.0
NE,state,6 International and Foreign Affairs,1997,11.11,0.0,55.56,11.11,22.22,9.0
NE,state,7 Religion Related,1997,9.62,9.62,26.92,9.62,44.23,52.0
NE,state,8 Other,1997,9.55,6.37,35.03,10.19,38.85,157.0
NH,state,1 Arts,1997,13.76,6.42,24.77,11.01,44.04,109.0
NH,state,2a Higher Education,1997,16.67,0.0,25.0,25.0,33.33,12.0
NH,state,2b Other Education,1997,11.89,6.99,13.29,22.38,45.45,143.0
NH,state,3 Environment and Animals,1997,15.38,2.56,23.08,7.69,51.28,39.0
NH,state,4a Hospitals,1997,21.88,9.38,12.5,25.0,31.25,32.0
NH,state,4b Other Health,1997,12.16,4.05,18.24,22.3,43.24,148.0
NH,state,5 Human Services,1997,15.87,10.58,15.37,16.62,41.56,397.0
NH,state,6 International and Foreign Affairs,1997,0.0,14.29,42.86,14.29,28.57,7.0
NH,state,7 Religion Related,1997,16.67,5.56,33.33,11.11,33.33,18.0
NH,state,8 Other,1997,10.0,7.78,26.67,11.11,44.44,90.0
NJ,state,1 Arts,1997,10.3,7.86,26.56,11.11,44.17,369.0
NJ,state,2a Higher Education,1997,11.11,11.11,5.56,22.22,50.0,18.0
NJ,state,2b Other Education,1997,13.91,10.06,19.28,17.22,39.53,726.0
NJ,state,3 Environment and Animals,1997,9.09,9.09,30.0,6.36,45.45,110.0
NJ,state,4a Hospitals,1997,17.95,10.26,21.79,21.79,28.21,78.0
NJ,state,4b Other Health,1997,14.57,10.22,22.69,15.27,37.25,714.0
NJ,state,5 Human Services,1997,17.42,10.72,18.24,16.94,36.68,1464.0
NJ,state,6 International and Foreign Affairs,1997,8.2,11.48,19.67,8.2,52.46,61.0
NJ,state,7 Religion Related,1997,9.4,12.08,19.46,17.45,41.61,149.0
NJ,state,8 Other,1997,11.62,11.62,21.21,13.38,42.17,396.0
NM,state,1 Arts,1997,4.9,13.29,29.37,8.39,44.06,143.0
NM,state,2a Higher Education,1997,15.38,15.38,15.38,7.69,46.15,13.0
NM,state,2b Other Education,1997,6.47,8.63,20.14,19.42,45.32,139.0
NM,state,3 Environment and Animals,1997,5.45,5.45,14.55,7.27,67.27,55.0
NM,state,4a Hospitals,1997,16.67,16.67,0.0,0.0,66.67,6.0
NM,state,4b Other Health,1997,19.48,5.84,20.13,13.64,40.91,154.0
NM,state,5 Human Services,1997,14.04,11.08,22.41,12.07,40.39,406.0
NM,state,6 International and Foreign Affairs,1997,18.18,9.09,9.09,0.0,63.64,11.0
NM,state,7 Religion Related,1997,1.96,11.76,17.65,13.73,54.9,51.0
NM,state,8 Other,1997,13.21,9.43,26.42,8.49,42.45,106.0
NV,state,1 Arts,1997,0.0,5.56,33.33,12.96,48.15,54.0
NV,state,2a Higher Education,1997,0.0,0.0,0.0,0.0,100.0,4.0
NV,state,2b Other Education,1997,7.81,6.25,34.38,10.94,40.63,64.0
NV,state,3 Environment and Animals,1997,13.64,4.55,27.27,4.55,50.0,22.0
NV,state,4a Hospitals,1997,33.33,0.0,16.67,33.33,16.67,6.0
NV,state,4b Other Health,1997,8.97,6.41,17.95,15.38,51.28,78.0
NV,state,5 Human Services,1997,10.24,7.32,20.49,16.59,45.37,205.0
NV,state,6 International and Foreign Affairs,1997,25.0,0.0,50.0,0.0,25.0,4.0
NV,state,7 Religion Related,1997,8.33,16.67,33.33,16.67,25.0,12.0
NV,state,8 Other,1997,6.12,6.12,18.37,14.29,55.1,49.0
NY,state,1 Arts,1997,8.7,9.27,24.27,10.59,47.17,1747.0
NY,state,2a Higher Education,1997,15.52,3.45,12.93,18.97,49.14,116.0
NY,state,2b Other Education,1997,13.2,10.26,18.76,17.37,40.41,1871.0
NY,state,3 Environment and Animals,1997,6.99,7.29,23.4,9.12,53.19,329.0
NY,state,4a Hospitals,1997,29.95,15.51,11.23,24.6,18.72,187.0
NY,state,4b Other Health,1997,15.48,9.89,19.41,15.43,39.79,1880.0
NY,state,5 Human Services,1997,21.14,9.26,15.63,17.44,36.54,4083.0
NY,state,6 International and Foreign Affairs,1997,5.02,7.66,32.54,9.81,44.98,418.0
NY,state,7 Religion Related,1997,8.56,8.78,25.0,13.29,44.37,444.0
NY,state,8 Other,1997,10.8,7.73,24.61,12.73,44.13,1398.0
OH,state,1 Arts,1997,9.0,9.16,28.28,12.01,41.55,633.0
OH,state,2a Higher Education,1997,19.67,4.92,13.11,13.11,49.18,61.0
OH,state,2b Other Education,1997,12.91,8.16,23.14,13.84,41.94,968.0
OH,state,3 Environment and Animals,1997,5.84,5.84,25.97,12.99,49.35,154.0
OH,state,4a Hospitals,1997,18.87,13.84,12.58,26.42,28.3,159.0
OH,state,4b Other Health,1997,12.28,9.7,20.22,17.54,40.26,1083.0
OH,state,5 Human Services,1997,18.68,8.76,16.57,17.81,38.18,2661.0
OH,state,6 International and Foreign Affairs,1997,3.13,15.63,31.25,9.38,40.63,64.0
OH,state,7 Religion Related,1997,15.36,10.11,23.22,10.49,40.82,267.0
OH,state,8 Other,1997,8.73,8.2,30.67,9.05,43.34,939.0
OK,state,1 Arts,1997,8.23,12.66,29.75,7.59,41.77,158.0
OK,state,2a Higher Education,1997,0.0,0.0,31.25,18.75,50.0,16.0
OK,state,2b Other Education,1997,6.57,11.27,23.47,10.33,48.36,213.0
OK,state,3 Environment and Animals,1997,3.03,9.09,45.45,3.03,39.39,33.0
OK,state,4a Hospitals,1997,8.33,2.08,22.92,35.42,31.25,48.0
OK,state,4b Other Health,1997,16.9,7.04,17.37,15.49,43.19,213.0
OK,state,5 Human Services,1997,14.7,9.57,18.29,15.9,41.54,585.0
OK,state,6 International and Foreign Affairs,1997,5.0,0.0,25.0,10.0,60.0,20.0
OK,state,7 Religion Related,1997,13.3,13.3,18.62,10.11,44.68,188.0
OK,state,8 Other,1997,11.06,10.55,18.59,8.04,51.76,199.0
OR,state,1 Arts,1997,8.75,10.27,27.76,10.65,42.59,263.0
OR,state,2a Higher Education,1997,16.0,0.0,8.0,12.0,64.0,25.0
OR,state,2b Other Education,1997,12.12,6.34,25.07,11.85,44.63,363.0
OR,state,3 Environment and Animals,1997,9.45,6.3,18.9,10.24,55.12,127.0
OR,state,4a Hospitals,1997,22.22,0.0,8.33,36.11,33.33,36.0
OR,state,4b Other Health,1997,7.9,11.68,20.62,15.46,44.33,291.0
OR,state,5 Human Services,1997,12.83,8.21,19.61,15.81,43.53,974.0
OR,state,6 International and Foreign Affairs,1997,2.94,8.82,35.29,8.82,44.12,34.0
OR,state,7 Religion Related,1997,8.26,9.09,25.62,13.22,43.8,121.0
OR,state,8 Other,1997,7.33,8.62,30.17,8.19,45.69,232.0
PA,state,1 Arts,1997,8.85,8.85,27.43,11.5,43.36,791.0
PA,state,2a Higher Education,1997,13.73,7.84,11.76,25.49,41.18,102.0
PA,state,2b Other Education,1997,12.64,10.0,19.42,15.12,42.81,1210.0
PA,state,3 Environment and Animals,1997,6.88,3.67,33.49,8.26,47.71,218.0
PA,state,4a Hospitals,1997,24.7,10.12,13.77,20.65,30.77,247.0
PA,state,4b Other Health,1997,15.1,10.79,17.53,15.78,40.8,1483.0
PA,state,5 Human Services,1997,15.69,9.25,17.15,17.38,40.53,3015.0
PA,state,6 International and Foreign Affairs,1997,5.81,9.3,17.44,12.79,54.65,86.0
PA,state,7 Religion Related,1997,12.04,11.42,20.37,10.49,45.68,324.0
PA,state,8 Other,1997,10.55,9.15,30.36,10.23,39.72,929.0
RI,state,1 Arts,1997,6.9,11.49,19.54,18.39,43.68,87.0
RI,state,2a Higher Education,1997,9.09,18.18,36.36,0.0,36.36,11.0
RI,state,2b Other Education,1997,9.76,8.13,13.82,19.51,48.78,123.0
RI,state,3 Environment and Animals,1997,3.85,11.54,23.08,3.85,57.69,26.0
RI,state,4a Hospitals,1997,14.29,21.43,14.29,14.29,35.71,14.0
RI,state,4b Other Health,1997,12.66,7.59,22.15,16.46,41.14,158.0
RI,state,5 Human Services,1997,13.83,10.61,14.47,14.79,46.3,311.0
RI,state,6 International and Foreign Affairs,1997,16.67,16.67,0.0,16.67,50.0,6.0
RI,state,7 Religion Related,1997,9.09,4.55,36.36,4.55,45.45,22.0
RI,state,8 Other,1997,9.94,4.97,31.06,8.07,45.96,161.0
SC,state,1 Arts,1997,12.06,9.22,24.82,9.22,44.68,141.0
SC,state,2a Higher Education,1997,0.0,16.0,12.0,20.0,52.0,25.0
SC,state,2b Other Education,1997,12.45,6.04,22.26,10.57,48.68,265.0
SC,state,3 Environment and Animals,1997,3.64,7.27,23.64,9.09,56.36,55.0
SC,state,4a Hospitals,1997,15.38,11.54,19.23,23.08,30.77,26.0
SC,state,4b Other Health,1997,15.53,6.85,19.63,18.72,39.27,219.0
SC,state,5 Human Services,1997,18.78,7.58,16.64,14.66,42.34,607.0
SC,state,6 International and Foreign Affairs,1997,0.0,14.29,14.29,7.14,64.29,14.0
SC,state,7 Religion Related,1997,7.32,9.76,23.17,13.41,46.34,82.0
SC,state,8 Other,1997,14.43,10.31,25.77,12.37,37.11,194.0
SD,state,1 Arts,1997,6.78,15.25,28.81,5.08,44.07,59.0
SD,state,2a Higher Education,1997,0.0,0.0,11.11,22.22,66.67,9.0
SD,state,2b Other Education,1997,6.41,14.1,20.51,15.38,43.59,78.0
SD,state,3 Environment and Animals,1997,19.05,0.0,28.57,4.76,47.62,21.0
SD,state,4a Hospitals,1997,30.56,11.11,5.56,16.67,36.11,36.0
SD,state,4b Other Health,1997,10.23,7.95,19.32,27.27,35.23,88.0
SD,state,5 Human Services,1997,14.81,12.35,20.16,18.52,34.16,243.0
SD,state,6 International and Foreign Affairs,1997,0.0,0.0,0.0,0.0,100.0,2.0
SD,state,7 Religion Related,1997,5.0,0.0,5.0,30.0,60.0,20.0
SD,state,8 Other,1997,10.17,5.08,30.51,10.17,44.07,59.0
TN,state,1 Arts,1997,11.33,7.88,24.63,12.32,43.84,203.0
TN,state,2a Higher Education,1997,10.53,7.89,15.79,15.79,50.0,38.0
TN,state,2b Other Education,1997,13.06,7.42,20.77,13.95,44.81,337.0
TN,state,3 Environment and Animals,1997,12.16,6.76,18.92,17.57,44.59,74.0
TN,state,4a Hospitals,1997,22.0,12.0,16.0,24.0,26.0,50.0
TN,state,4b Other Health,1997,11.33,13.79,20.69,11.58,42.61,406.0
TN,state,5 Human Services,1997,17.83,9.83,16.72,16.11,39.51,987.0
TN,state,6 International and Foreign Affairs,1997,0.0,10.0,30.0,0.0,60.0,20.0
TN,state,7 Religion Related,1997,9.58,9.17,18.33,15.83,47.08,240.0
TN,state,8 Other,1997,13.33,9.47,20.7,13.68,42.81,285.0
TX,state,1 Arts,1997,8.4,7.8,24.0,12.06,47.75,821.0
TX,state,2a Higher Education,1997,11.67,13.33,10.0,16.67,48.33,60.0
TX,state,2b Other Education,1997,9.9,7.43,24.08,10.5,48.09,1333.0
TX,state,3 Environment and Animals,1997,10.75,7.94,31.78,7.48,42.06,214.0
TX,state,4a Hospitals,1997,12.5,8.93,15.18,26.79,36.61,112.0
TX,state,4b Other Health,1997,12.24,9.27,22.5,12.6,43.38,1111.0
TX,state,5 Human Services,1997,13.37,8.79,19.19,14.21,44.43,2730.0
TX,state,6 International and Foreign Affairs,1997,8.25,9.28,25.77,17.53,39.18,97.0
TX,state,7 Religion Related,1997,10.93,8.53,25.87,9.47,45.2,750.0
TX,state,8 Other,1997,9.27,6.98,25.63,9.81,48.31,917.0
UT,state,1 Arts,1997,8.24,10.59,30.59,5.88,44.71,85.0
UT,state,2a Higher Education,1997,0.0,0.0,50.0,0.0,50.0,4.0
UT,state,2b Other Education,1997,12.0,9.0,21.0,11.0,47.0,100.0
UT,state,3 Environment and Animals,1997,14.63,9.76,19.51,9.76,46.34,41.0
UT,state,4a Hospitals,1997,25.0,25.0,25.0,25.0,0.0,4.0
UT,state,4b Other Health,1997,14.0,7.0,12.0,21.0,46.0,100.0
UT,state,5 Human Services,1997,13.08,8.46,22.69,13.46,42.31,260.0
UT,state,6 International and Foreign Affairs,1997,0.0,14.29,42.86,14.29,28.57,7.0
UT,state,7 Religion Related,1997,12.5,0.0,37.5,12.5,37.5,16.0
UT,state,8 Other,1997,6.82,10.23,22.73,7.95,52.27,88.0
VA,state,1 Arts,1997,8.18,7.73,24.55,16.14,43.41,440.0
